scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
stable,lfu,83,4,code_006,code,2099,6169,0.253870343492985,0.247215192798789
stable,lfu,84,4,code_001,code,2378,6826,0.25836592785745327,0.2473614888558184
stable,lfu,85,4,code_002,code,1926,6030,0.2420814479638009,0.24730227995399498
stable,lfu,86,4,code_003,code,1879,5765,0.24581371009942438,0.24728641310107483
stable,lfu,87,4,code_004,code,2018,6250,0.2440735365263667,0.24724979321753515
stable,lfu,88,4,code_005,code,1960,6152,0.2416173570019724,0.24718750340826054
stable,lfu,89,4,code_006,code,2099,6169,0.253870343492985,0.24726199142602928
stable,lfu,90,5,code_001,code,2378,6826,0.25836592785745327,0.24739808038520128
stable,lfu,91,5,code_002,code,1926,6030,0.2420814479638009,0.247342345903497
stable,lfu,92,5,code_003,code,1879,5765,0.24581371009942438,0.24732710309633388
stable,lfu,93,5,code_004,code,2018,6250,0.2440735365263667,0.2472923861589052
stable,lfu,94,5,code_005,code,1960,6152,0.2416173570019724,0.2472335892837985
stable,lfu,95,5,code_006,code,2099,6169,0.253870343492985,0.24730294022486451
stable,lfu,96,5,code_001,code,2378,6826,0.25836592785745327,0.24743015056794046
stable,lfu,97,5,code_002,code,1926,6030,0.2420814479638009,0.24737750992092944
stable,lfu,98,5,code_003,code,1879,5765,0.24581371009942438,0.24736286144238734
stable,lfu,99,5,code_004,code,2018,6250,0.2440735365263667,0.24732986859216988
stable,lfu,100,5,code_005,code,1960,6152,0.2416173570019724,0.24727419943874215
stable,lfu,101,5,code_006,code,2099,6169,0.253870343492985,0.24733907151795442
stable,lfu,102,5,code_001,code,2378,6826,0.25836592785745327,0.24745848864791595
stable,lfu,103,5,code_002,code,1926,6030,0.2420814479638009,0.2474086197490453
stable,lfu,104,5,code_003,code,1879,5765,0.24581371009942438,0.24739453348862145
stable,lfu,105,5,code_004,code,2018,6250,0.2440735365263667,0.2473631082361666
stable,lfu,106,5,code_005,code,1960,6152,0.2416173570019724,0.24731025504950854
stable,lfu,107,5,code_006,code,2099,6169,0.253870343492985,0.24737118822292323
lru_break,lru,0,0,code_001,code,3386,5818,0.36788352890047804,0.36788352890047804
lru_break,lru,1,0,code_002,code,2953,5003,0.37116641528406236,0.3694055944055944
lru_break,lru,2,0,code_003,code,2574,5070,0.336734693877551,0.3593372036768263
lru_break,lru,3,0,code_004,code,2968,5300,0.358974358974359,0.3592464925012095
lru_break,lru,4,0,code_005,code,2921,5191,0.36008382642998027,0.3594114219114219
